All students of one course in one semester
++++++++ Semester: 2020C ++++++++++++++++++
Course :COSC4030 Theory of Computation 5
		Alex Mike S101312
		Mark Duong S102732
		Thuy Thu Nguyen S103817
Course :BUS2232 Business Law 3
		Joseph Fergile S101163
		Son Thanh Le S103912
		Alex Mike S101312
++++++++ Semester: 2020B ++++++++++++++++++
Course :BUS2232 Business Law 3
		Hai Hoang Vu S103723
		Ngan Thu Vo S103192
++++++++ Semester: 2021A ++++++++++++++++++
Course :PHYS1230 Introductory Human Physiology 4
		Son Minh Doan S103821
		Mark Patterson S102192
		Alex Mike S101312
Course :COSC3321 Artificial Intelligence 3
		Jang Min Seon S101153
		Thuy Thu Nguyen S103817
		Joseph Fergile S101163
		Mark Duong S102732

